URL,Nome,Website,Descrição,Qtde. Colaboradores,Avaliação,Pior Avaliação,Melhor Avaliação,Qtde. Avaliações,Qtde. Resenhas,Indústria,Equilíbrio trabalho/vida pessoal,Reconhecimento e recompensa,Salário,Qualidade de gestão,Oportunidades de carreira,Dificuldade das entrevistas,Taxa de recomendação,Faixa salarial,Nº de horas trabalhadas em média,Taxa de feedback das entrevistas,Investimento de tempo em entrevistas,Modo de Trabalho,Faixa salarial (min),Faixa salarial (max),Média salarial,Nº de minutos trabalhados
https://pt.teamlyzer.com/companies/aubay,Aubay,http://aubay.pt/,"A Aubay é uma empresa multinacional de consultoria em tecnologia e integração de sistemas de informação, orientada para servir grandes empresas, em particular nos sectores da banca, seguros, indústria e telecomunicações.",1001-5000,2.3,1.0,5.0,445.0,299.0,Consultoria & Outsourcing IT,62,48,42,51,46,39,73.0,1900 - 2100,08:00,63,97,Depende do projeto / equipa,1900,2100,2000.0,480
https://pt.teamlyzer.com/companies/mercedes-benz-io,Mercedes-Benz.io,https://www.mercedes-benz.io,"A Mercedes-Benz.io, uma subsidiária do Mercedes-Benz Group AG, desenvolve soluções de tecnologia de marketing e vendas para as plataformas digitais da Mercedes-Benz, como o site mundial, a plataforma de comércio, serviços digitais e soluções pós-venda. Somos uma tribo de entusiastas digitais que impulsionam o futuro digital da Mercedes-Benz. Este não é o nosso trabalho; é a nossa paixão.",501-1000,3.0,1.0,5.0,405.0,111.0,Tecnologia da Informação,77,59,51,53,56,60,78.0,2708 - 2908,07:55,79,221,Escolha do trabalhador,2708,2908,2808.0,475
https://pt.teamlyzer.com/companies/outsystems,OutSystems,http://www.outsystems.com,"OutSystems é uma plataforma low-code que permite às empresas desenvolver, implementar e gerir aplicações multicanal de forma rápida e ágil.
",1001-5000,2.7,1.0,5.0,253.0,102.0,Software House & Internet,67,61,55,50,63,53,82.0,2321 - 2521,07:57,82,200,Full remote,2321,2521,2421.0,477
https://pt.teamlyzer.com/companies/everis-portugal,NTT Data (Everis Portugal),https://pt.nttdata.com/,"A NTT Data, antiga Everis, é uma consultora multinacional que oferece soluções de negócio, estratégia, desenvolvimento e manutenção de aplicações tecnológicas e outsourcing. A consultora desenvolve a sua atividade nos setores das entidades financeiras, telecomunicações, indústria, utilities & energia, seguros, administração pública, media e saúde.",+10000,2.1,1.0,5.0,282.0,152.0,Consultoria & Outsourcing IT,53,43,38,42,47,41,57.0,1426 - 1626,08:27,65,131,Híbrido,1426,1626,1526.0,507
https://pt.teamlyzer.com/companies/siemens-portugal,Siemens Portugal,www.siemens.pt,"A Siemens desenvolve tecnologia com o propósito de agregar valor aos clientes, parceiros e à sociedade. Ao digitalizar indústrias, tornar as cidades mais inteligentes e energeticamente mais verdes e ao desenvolver sistemas de mobilidade eficientes, a empresa contribui para a sustentabilidade e a descarbonização. Porque o que a Siemens faz não é só de última geração é também para a próxima geração.",1001-5000,2.6,1.0,5.0,248.0,102.0,Telecomunicações & Eletrotécnica,71,52,49,45,50,47,66.0,2051 - 2251,08:02,66,135,Híbrido,2051,2251,2151.0,482
https://pt.teamlyzer.com/companies/mindera,Mindera,http://www.mindera.com,"We craft software with people we love. Gaming, retail, e fintech são algumas das indústrias para as quais desenvolvemos aplicações web e mobile. O nosso expertise vai desde infraestrutura, frontend, backend a design UX/UI e produto. Trabalhamos com a tech stack mais recente e gostamos mesmo muito das pessoas com quem trabalhamos. Queres entrar para a nossa equipa? Sê tu próprio(a)!",501-1000,2.9,1.0,5.0,328.0,140.0,Software House & Internet,72,59,51,54,61,50,79.0,2211 - 2411,07:50,66,154,Escolha do trabalhador,2211,2411,2311.0,470
https://pt.teamlyzer.com/companies/critical-software,Critical Software,http://www.criticalsoftware.com,"A Critical Software é especializada no desenvolvimento de soluções de software e serviços de engenharia de informação, para o suporte de sistemas críticos orientados à segurança, missão e ao negócio de empresas.",501-1000,2.5,1.0,5.0,269.0,140.0,Software House & Internet,65,48,38,54,52,47,73.0,1673 - 1873,08:01,73,150,Híbrido,1673,1873,1773.0,481
https://pt.teamlyzer.com/companies/feedzai,Feedzai,http://www.feedzai.com,"A Feedzai é líder de mercado no combate ao crime financeiro com IA. A nossa plataforma RiskOps utiliza machine learning e big data para prevenir e detectar crimes financeiros em alguns dos maiores bancos, provedores de pagamento e comerciantes do mundo.",501-1000,2.5,1.0,5.0,255.0,96.0,Software House & Internet,50,50,53,45,52,59,79.0,2042 - 2242,08:08,73,188,Escolha do trabalhador,2042,2242,2142.0,488
https://pt.teamlyzer.com/companies/natixis,Natixis em Portugal,https://natixispurplescan.com/ ,"A Natixis em Portugal é um Centro de Excelência que tem como missão transformar a banca tradicional, desenvolvendo soluções inovadoras para o negócio, operações e cultura de trabalho do Groupe BPCE em todo o mundo. O Centro, com sede no Porto, conta atualmente com cerca de 2.400 colaboradores de mais de 30 nacionalidades.",1001-5000,2.3,1.0,5.0,238.0,123.0,Banca & Serviços Financeiros,62,44,41,41,43,44,57.0,1770 - 1970,07:52,65,130,Híbrido,1770,1970,1870.0,472
https://pt.teamlyzer.com/companies/novabase,Novabase,http://www.novabase.pt,"A Novabase surge como software-house, especializada no desenvolvimento de soluções à medida. Em 1994 torna-se a primeira empresa no mercado do desenvolvimento de software em Portugal que obteve a norma de certificação do seu processo produtivo pelo IPQ, segundo a NP EN ISO 9001.",1001-5000,2.1,1.0,5.0,240.0,146.0,Consultoria & Outsourcing IT,60,39,40,45,42,40,62.0,1348 - 1548,08:04,66,106,Híbrido,1348,1548,1448.0,484
https://pt.teamlyzer.com/companies/celfocus,Celfocus,http://www.celfocus.com,"Fornece soluções para o mercado das telecomunicações. A Celfocus trabalha exclusivamente em alguns domínios de implementação específicos: crm, om, eai, business intelligence, pa, eim, ngin e serviços e faturação.",501-1000,2.1,1.0,5.0,265.0,154.0,Tecnologia da Informação,56,42,38,42,45,37,57.0,1542 - 1742,08:10,69,97,Híbrido,1542,1742,1642.0,490
https://pt.teamlyzer.com/companies/volkswagen-digital-solutions,Volkswagen Digital Solutions,https://vwds.pt/,"**A nossa missão é impulsionar a jornada digital do Grupo Volkswagen**

Inovar e explorar novos caminhos por meio de novas aprendizagens e ideias. A nossa visão é inspirar e transformar o futuro do IT no Grupo VW. Questionamos e desafiamos as coisas que sabemos ser verdadeiras hoje.
A Volkswagen Digital Solutions é composta por 3 unidades de tecnologia que em conjunto fazem parte da mudança .",501-1000,2.9,1.0,5.0,269.0,86.0,Tecnologia da Informação,76,58,60,58,56,44,82.0,2583 - 2783,07:39,82,191,Depende do projeto / equipa,2583,2783,2683.0,459
https://pt.teamlyzer.com/companies/agap2-it-portugal,Agap2 IT - Portugal,http://www.agap2.com/it/pt-pt,"A Agap2it é uma organização europeia na área dos sistemas de informação e uma referência no mundo da banca, seguros, telecomunicações, indústria, farmacêutica e energia. Empenhada Na inovação, a agap2it está orientada para a criação de um verdadeiro valor para os seus clientes e consultores.",51-200,1.9,1.0,5.0,239.0,149.0,Consultoria & Outsourcing IT,55,41,32,44,40,35,37.0,1163 - 1363,08:03,40,76,Híbrido,1163,1363,1263.0,483
https://pt.teamlyzer.com/companies/noesis-portugal,Noesis,http://www.noesis.pt,"Somos consultora tecnológica internacional e contamos com mil talentos especializados em diferentes tecnologias. Todos os dias, trabalhamos em conjunto para criar soluções inovadoras com impacto na sociedade.
Estamos em Portugal, Espanha, Holanda, Brasil, Irlanda e EUA. É na diversidade cultural e de oportunidades que encontramos o estímulo para inovar e nos desafiarmos a ser cada vez melhores.",501-1000,1.9,1.0,5.0,196.0,107.0,Consultoria & Outsourcing IT,61,41,37,44,40,31,46.0,1274 - 1474,08:01,64,67,Escolha do trabalhador,1274,1474,1374.0,481
https://pt.teamlyzer.com/companies/adentis-portugal,Adentis Portugal,http://www.adentis.pt/,"Com mais de 6 anos de existência a nível nacional, contamos com mais de 250 colaboradores com o nosso ADN e posicionamo-nos no mercado com 3 ofertas de serviço: Strategy, R&D, Nearshore.

Happy People do amazing things! 

We walk with you!",201-500,2.3,1.0,5.0,210.0,122.0,Consultoria & Outsourcing IT,58,50,41,52,52,35,71.0,1258 - 1458,07:54,41,63,Híbrido,1258,1458,1358.0,474
https://pt.teamlyzer.com/companies/bosch,Bosch,https://www.bosch.pt,"Carros autónomos, máquinas que falam entre si, casas e cidades inteligentes.

Na Bosch, transformamos estas visões em realidade para melhorar a qualidade de vida das pessoas por todo o mundo.

A promessa que fazemos aos nossos colaboradores é sólida: crescemos juntos, desfrutamos do que fazemos e inspiramo-nos uns aos outros. Junta-te a nós e sente a diferença! Work #LikeABosch
",+10000,2.5,1.0,5.0,208.0,106.0,Indústria & Serviços,64,46,47,46,46,44,76.0,1802 - 2002,08:04,54,148,Depende do projeto / equipa,1802,2002,1902.0,484
https://pt.teamlyzer.com/companies/critical-manufacturing,Critical Manufacturing,http://www.criticalmanufacturing.com,"Na Critical Manufacturing criamos soluções de software para a Indústria 4.0, para as fábricas mais avançadas a nível mundial, nos segmentos de semicondutores, electrónica, dispositivos médicos, automóvel, entre outros. Com base em tecnologias como IoT, Realidade Aumentada ou Analytics, as nossas equipas estão a tornar realidade a visão da 4ª revolução industrial.",201-500,2.9,1.0,5.0,243.0,133.0,Software House & Internet,70,60,46,65,58,49,79.0,1618 - 1818,08:06,78,124,Híbrido,1618,1818,1718.0,486
https://pt.teamlyzer.com/companies/banco-bnp-paribas,Banco BNP Paribas,http://www.bnpparibas.pt,"O BNP Paribas, líder bancário da UE, atua em 65 países e emprega cerca de 185.000 pessoas. Divide-se em 3 ramos: Retail Banking, Investment & Protection Services, e Corporate & Institutional Banking. Implementa uma abordagem de Responsabilidade Social Corporativa em todas as suas operações. Presente em Portugal desde 1985, emprega mais de 8.000 pessoas e possui 10 empresas no país.",+10000,2.5,1.0,5.0,173.0,104.0,Banca & Serviços Financeiros,63,38,34,33,35,51,37.0,1540 - 1740,08:03,64,143,Híbrido,1540,1740,1640.0,483
https://pt.teamlyzer.com/companies/sky,Sky Portugal,https://sky.wd3.myworkdayjobs.com/sky_careers,"Na Sky Portugal criamos o melhor software para apps e plataformas de TV e streaming, aproximando os nossos clientes dos conteúdos que mais gostam! Desde apps frontend e mobile a serviços backend, desenvolvemos plataformas tecnológicas de ponta a uma escala global, como o SkyShowtime, lançado na Europa (2022) e o Peacock, lançado nos EUA (2020).",201-500,2.5,1.0,5.0,217.0,90.0,Indústria & Serviços,56,42,63,40,49,50,65.0,3072 - 3272,08:00,69,167,Híbrido,3072,3272,3172.0,480
https://pt.teamlyzer.com/companies/softinsa,Softinsa,http://www.softinsa.pt,"A Softinsa, uma **subsidiária da IBM**, é especialista em serviços de consultoria, gestão e desenvolvimento de aplicações. Com 24 anos de história e experiência no mercado português, conta atualmente com uma equipa de mais de 800 profissionais, distribuídos por Lisboa, pelos Centros de Inovação de Tomar, Viseu, Fundão, Portalegre e Vila Real.",501-1000,1.8,1.0,5.0,166.0,106.0,Tecnologia da Informação,56,33,30,37,35,32,31.0,1047 - 1247,08:11,65,96,Híbrido,1047,1247,1147.0,491
https://pt.teamlyzer.com/companies/cgi-ti-portugal,CGI TI Portugal,http://www.cgi.com.pt,"A CGI é uma empresa Canadiana que nasceu numa cave e que hoje é uma das maiores empresas de TI do mundo. Em Portugal a CGI está presente em Lisboa, Porto, Sacavém e Sintra.",+10000,1.9,1.0,5.0,170.0,110.0,Consultoria & Outsourcing IT,56,35,34,39,38,38,40.0,1314 - 1514,08:12,68,80,Híbrido,1314,1514,1414.0,492
https://pt.teamlyzer.com/companies/alter-solutions-portugal,Alter Solutions Portugal,https://www.alter-solutions.pt,"A Alter Solutions Portugal é uma empresa de Consultoria em Tecnologia da Informação, atualmente parte do grupo act digital, com presença em 11 países. Certificada como um Great Place to Work, em Portugal conta com 120 clientes e 500 pessoas, a trabalhar em projetos de setores como Banca, Seguros, Transportes, Aviação e Energia, e projetos com diversos clientes de renome internacional.",501-1000,2.1,1.0,5.0,179.0,111.0,Consultoria & Outsourcing IT,52,40,41,41,43,41,54.0,1640 - 1840,07:58,52,89,Depende do projeto / equipa,1640,1840,1740.0,478
https://pt.teamlyzer.com/companies/bee-engineering-portugal,Bee Engineering,http://www.bee-eng.pt,"A Bee Engineering é uma consultora de tecnologias da informação e comunicação que apoia as organizações a encontrar a solução tecnológica certa para catalisar o seu crescimento. Movemo-nos como um todo para chegar mais longe e atingir um propósito, o sucesso. Tecnologia é o que nos apaixona e é pela tecnologia que nos superamos, inovamos e desafiamos o futuro. 
Junta-te à colmeia.",501-1000,2.1,1.0,5.0,168.0,100.0,Consultoria & Outsourcing IT,56,47,34,48,41,34,62.0,1175 - 1375,08:12,55,72,Depende do projeto / equipa,1175,1375,1275.0,492
https://pt.teamlyzer.com/companies/imaginary-cloud,Imaginary Cloud,http://www.imaginarycloud.com,"Temos +14 anos de experiência a desenvolver Software para empresas líderes globais. Acreditamos num futuro Human-Centric e em colocar as pessoas em primeiro lugar. Encontrarás uma cultura acolhedora, um ambiente de trabalho flexível e muitas oportunidades para evoluíres. Somos detentores do Best Workplace in Europe, #2 Best Workplace in Portugal e Best Quality of Life in Portugal.",51-200,4.1,1.0,5.0,171.0,91.0,Tecnologia da Informação,77,68,61,70,67,58,92.0,2044 - 2244,08:04,95,186,Remote first,2044,2244,2144.0,484
https://pt.teamlyzer.com/companies/itsector,ITSector,https://www.itsector.pt/,"A ITSector é uma empresa de desenvolvimento de software, especializada na transformação digital para o setor financeiro. Com cerca de 20 anos de experiência, contamos com uma equipa de mais de 600 especialistas que trabalham diariamente para desenvolver soluções personalizadas a partir dos nossos Centros de Desenvolvimento do Porto, Lisboa, Aveiro, Braga, Bragança e Castelo Branco.",501-1000,2.1,1.0,5.0,203.0,120.0,Software House & Internet,56,41,36,40,42,39,44.0,1424 - 1624,08:07,77,100,Remote first,1424,1624,1524.0,487
https://pt.teamlyzer.com/companies/xpand-it,Xpand IT,http://www.xpand-it.com,"A Xpand IT tem 280 colaboradores e 5 escritórios em todo o mundo. Estamos orgulhosos de ser uma empresa de tecnologia, especialista em Big Data, BI & Analytics, Enterprise Middleware, Ferramentas Colaborativas e Desenvolvimento de Software com uma variedade de clientes representados na Fortune 500, incluindo Tesla, NASA, Vodafone, Porsche, Nike, Lufthansa ou IBM. Conhece-nos em www.xpand-it.com.",201-500,2.2,1.0,5.0,146.0,87.0,Tecnologia da Informação,66,45,31,49,45,42,74.0,1310 - 1510,07:58,70,134,Híbrido,1310,1510,1410.0,478
https://pt.teamlyzer.com/companies/capgemini-portugal,Capgemini Portugal,https://www.capgemini.com/pt-en/,"A Capgemini é uma multinacional francesa que está entre os maiores fornecedores de serviços de consultoria, tecnologia e outsourcing do mundo.",+10000,1.9,1.0,5.0,142.0,84.0,Consultoria & Outsourcing IT,46,37,35,39,43,33,47.0,1495 - 1695,08:22,60,107,Full remote,1495,1695,1595.0,502
https://pt.teamlyzer.com/companies/wit-software,WIT Software,http://www.wit-software.com,"A WIT é uma empresa especializada no desenvolvimento de aplicações e serviços para operadores móveis e empresas de telecomunicações. Conta com uma carteira de clientes em mais de 15 países, incluindo alguns dos maiores operadores mundiais.",201-500,2.5,1.0,5.0,169.0,89.0,Software House & Internet,57,48,55,41,47,51,61.0,2041 - 2241,08:17,62,150,Híbrido,2041,2241,2141.0,497
https://pt.teamlyzer.com/companies/diconium-portugal,diconium digital solutions,http://www.diconium.com,"A diconium tem apoiado líderes da indústria como a Volkswagen, STIHL, Bosch, Kodak Alaris ou Sick a explorar o potencial da transformação digital. Acompanhamos as empresas em todo o processo de digitalização: desde Inovação & Estratégia, UX, Dados & IA, Comércio e Tecnologia até à criação de unidades digitais. Temos a vontade de gerar um impacto duradouro e transformador!",201-500,4.1,1.0,5.0,144.0,65.0,Software House & Internet,82,72,71,75,71,42,97.0,3047 - 3247,07:57,96,131,Escritório,3047,3247,3147.0,477
https://pt.teamlyzer.com/companies/kwan,KWAN,http://www.kwan.pt/,"A **KWAN** é uma empresa 100% portuguesa, que faz parte do Grupo Rupeal, dedicada ao IT Staffing, consultoria e outsourcing. 

A KWAN existe porque um _developer_ acreditou numa forma diferente de recrutar: Tratar as pessoas com o respeito que merecem.

O nosso objectivo é sermos o teu _go-to-place_ para aconselhamento de carreira e ajudar-te a chegar ao teu _dream job_.",201-500,2.9,1.0,5.0,140.0,77.0,Consultoria & Outsourcing IT,71,63,57,68,61,33,85.0,1940 - 2140,07:50,38,72,Depende do projeto / equipa,1940,2140,2040.0,470
https://pt.teamlyzer.com/companies/inetum,Inetum,https://gfi.world/pt-pt/,"Grupo presente em mais de 26 países, é líder em serviços e software de TI de valor acrescentado, ocupando uma posição estratégica e diferenciadora entre empresas globais e de nicho. Com 27 000 profissionais em todo o mundo, a Gfi conta com 2 200 talentos em Portugal, 4 Centros de Serviço (Lisboa Covilhã e Bragança) e 1 Centro de Inovação (FabLab).",1001-5000,1.9,1.0,5.0,141.0,80.0,Consultoria & Outsourcing IT,55,36,35,37,36,40,30.0,1323 - 1523,08:04,32,88,Híbrido,1323,1523,1423.0,484
https://pt.teamlyzer.com/companies/claranet-portugal,Claranet Portugal,http://www.claranet.pt,"Primeiro isp privado em Portugal, a Esoterica, SA. foi adquirida em maio de 1999 pela multinacional norte-americana via NetWorks, Inc. e em Julho de 2005, pelo grupo europeu Claranet",201-500,2.1,1.0,5.0,78.0,42.0,Tecnologia da Informação,53,36,39,39,36,39,44.0,1608 - 1808,08:02,46,83,Híbrido,1608,1808,1708.0,482
https://pt.teamlyzer.com/companies/edp-electricidade-de-portugal,EDP,http://www.edp.pt,"A EDP é dos maiores operadores no setor da energia (gás e eletricidade), um dos maiores operadores na península ibérica, o maior grupo industrial português, o terceiro maior produtor mundial de energia eólica.",1001-5000,2.5,1.0,5.0,130.0,49.0,Indústria & Serviços,66,39,55,46,41,51,60.0,1750 - 1950,07:48,66,188,Híbrido,1750,1950,1850.0,468
https://pt.teamlyzer.com/companies/axians-portugal,Axians Portugal,https://www.axians.com,"Subsidiária criada pela Vinci Energies, para acolher o negócio de serviços de gestão de infra-estruturas comprado à Novabase, a unidade “Infrastructures and Managed Services” (IMS).",5001-10000,2.1,1.0,5.0,132.0,61.0,Tecnologia da Informação,53,41,38,41,41,36,46.0,1472 - 1672,08:16,50,83,Remote first,1472,1672,1572.0,496
https://pt.teamlyzer.com/companies/glintt,Glintt Global,http://www.glintt.com,"A Glintt – Global Intelligent Technologies é uma das maiores empresas tecnológicas portuguesas, com presença forte nos setores da banca, telecomunicações, saúde, comércio, indústria e administração pública. A Glintt está estabelecida em dois pilares fundamentais: Glintt Farma | Glintt Consulting.",1001-5000,1.8,1.0,5.0,120.0,62.0,Consultoria & Outsourcing IT,52,34,32,33,34,33,23.0,1208 - 1408,08:22,70,104,Remote first,1208,1408,1308.0,502
https://pt.teamlyzer.com/companies/red-it,Red IT,https://www.redit.pt,"A RED IT é uma empresa de consultoria nascida em Lisboa, focada em conceitos de excelência e conhecimento em tecnologia da informação, prestando serviços em todo o mundo.",51-200,2.5,1.0,5.0,124.0,74.0,Consultoria & Outsourcing IT,69,52,44,55,52,34,71.0,1115 - 1315,07:56,41,70,Depende do projeto / equipa,1115,1315,1215.0,476
https://pt.teamlyzer.com/companies/olx-group,OLX Group,https://www.olxgroup.com/,"A OLX é uma empresa global de comércio eletrónico, sediada em Amsterdão, Holanda. Actua em centenas de países, publicando anúncios classificados na Internet.",1001-5000,2.5,1.0,5.0,124.0,61.0,Software House & Internet,69,50,54,44,43,46,77.0,2941 - 3141,07:54,76,203,Remote first,2941,3141,3041.0,474
https://pt.teamlyzer.com/companies/nokia-networks-portugal,Nokia Networks Portugal,http://www.nokia.com/pt_int,"Com cerca de 2000 colaboradores em Portugal, a Nokia Networks é líder de mercado em equipamentos, soluções e serviços para redes de banda larga móvel.",+10000,2.3,1.0,5.0,108.0,68.0,Telecomunicações & Eletrotécnica,67,40,49,39,42,43,55.0,2084 - 2284,07:58,85,140,Escolha do trabalhador,2084,2284,2184.0,478
https://pt.teamlyzer.com/companies/equal-experts-portugal,Equal Experts Portugal,http://www.equalexperts.com/,"A Equal Experts fornece serviços de consultoria na área de desenvolvimento de software, tendo projetos cuja abrangência pode variar desde Software & Product Delivery até projetos de transformação que envolvem mudança de práticas e processos dos nossos clientes.
Os nossos clientes são sobretudo empresas internacionais, muitas delas sem presença em Portugal. ",11-50,2.9,1.0,5.0,72.0,14.0,Tecnologia da Informação,79,67,70,61,61,67,85.0,3762 - 3962,07:34,71,252,Full remote,3762,3962,3862.0,454
https://pt.teamlyzer.com/companies/vodafone,Vodafone Portugal,http://www.vodafone.pt,"O grupo Vodafone é a empresa de telecomunicações móveis com maior presença a nível mundial. Pretende continuar a responder de forma exemplar às necessidades globais de comunicação dos clientes, quer sejam de natureza móvel ou fixa (voz, Internet e televisão).",+10000,2.5,1.0,5.0,113.0,59.0,Telecomunicações & Eletrotécnica,64,45,50,45,50,52,63.0,2137 - 2337,07:58,65,105,Híbrido,2137,2337,2237.0,478
https://pt.teamlyzer.com/companies/wellhub,Wellhub (anteriormente Gympass),https://wellhub.com/en-us/,"Wellhub (anteriormente Gympass) é uma plataforma corporativa de bem-estar, que conecta os colaboradores aos melhores parceiros para exercícios físicos, mindfulness, terapia, nutrição e rotina de sono. Tudo em uma só inscrição, pensada para ser o mais econômica e vantajosa possível para cada parceiro. Com sede em Nova York, o Wellhub tem mais de 1900 funcionários em 11 países ao redor do mundo!",1001-5000,4.2,1.0,5.0,130.0,56.0,Indústria & Serviços,77,71,76,70,73,48,93.0,3505 - 3705,08:09,61,198,Escolha do trabalhador,3505,3705,3605.0,489
https://pt.teamlyzer.com/companies/phc-software,PHC Software,http://www.phcsoftware.com,"Acreditamos que a gestão é um motor de felicidade. Empresas mais bem geridas conseguem melhores resultados, e melhores resultados são possíveis com software que permite criar um ecossistema onde colaboradores têm uma experiência de trabalho incrível, os clientes têm melhores produtos e a sociedade tem maior valor.",201-500,2.5,1.0,5.0,120.0,59.0,Software House & Internet,62,48,37,58,47,43,78.0,1121 - 1321,08:08,66,191,Híbrido,1121,1321,1221.0,488
